CAS	CETANE
96789-56-9	-7
99-62-7	-3
98-06-6	-1
78900-94-4	0
103-29-7	1
95-93-2	1
27322-34-5	2.8
2876-35-9	3
4939-75-7	4
102-76-1	5
627-93-0	5
170082-17-4	5
68584-01-0	5
25-65-0	5.6
31711-50-9	6
100-66-3	6
1515-80-6	6
50643-04-4	6
54022-95-6	6
7419-61-6	6
36383-15-0	6
68476-56-2	6.1
68650-36-2	6.2
70955-17-8	6.3
623-42-7	6.4
60-01-5	7
108-38-3	7
110-00-9	7
3494-45-9	7.4
104-45-0	7.5
102-25-0	7.6
624-45-3	7.8
1321-27-3	8
68411-84-7	8
108-67-8	8
103-50-4	8.1
13020-06-9	8.5
68989-27-5	8.5
645-56-7	8.6
56573-11-6	8.6
25167-70-8	8.8
95-36-3	8.9
27216-28-0	8.9
13475-82-6	9
120-92-3	9
27137-41-3	9
96-41-3	9.8
77908-12-4	10
25551-13-7	10.1
3208-16-0	10.2
40795-25-3	10.3
1125-88-8	10.4
9003-41-2	10.4
625-86-5	10.9
101-81-5	11
71329-38-9	11
123-42-2	11.5
873-94-9	11.9
71-31-8	12
609-26-7	12
104-51-8	12
5593-70-4	12
68409-73-4	12
75-85-4	12.1
108-10-1	12.6
464-06-2	12.9
9006-04-6	13
4466-24-4	13.1
6423-06-9	13.1
624-24-8	13.3
91-16-7	13.4
141-97-9	13.7
39276-09-0	13.9
564-02-3	14
565-75-3	14
764-48-7	14
54682-86-9	14.3
565-80-0	14.4
2052-15-5	14.4
96-22-0	14.6
108-59-8	15
68989-28-6	15
101316-43-2	15
4390-04-9	15
109-86-4	15.5
1708-29-8	15.6
103-65-1	16
107-98-2	16.3
108-93-0	16.3
22564-99-4	16.5
560-21-4	17
1067-20-5	17
73090-68-3	17
5310-57-6	17.2
93842-55-8	17.9
38857-76-0	18
109-21-7	18
540-84-1	18
2785-87-7	18
538-68-1	18
7493-04-1	18.1
637-64-9	18.2
30899-19-5	18.2
6270-56-0	18.4
539-82-2	18.6
8000-48-4	18.8
8022-90-0	18.9
131-11-3	19
4549-82-0	19.1
35944-21-9	19.2
9009-62-5	19.3
68311-14-8	19.3
79-20-9	19.5
5157-89-1	19.5
2785-89-9	19.6
93-51-6	19.8
764-13-6	19.9
583-48-2	20
1636-41-5	20
68424-45-3	20
25012-93-5	20
36312-17-1	20
99-85-4	20.3
89-80-5	20.6
68514-31-8	20.6
141-06-0	20.7
95-92-1	21
589-55-9	21
141-03-7	21
1190-39-2	21
68989-32-2	21
78-84-2	21.1
25265-68-3	21.3
25719-60-2	21.3
24979-97-3	21.9
565-59-3	22
26856-31-5	22
72931-45-4	22
292-64-8	22.3
502-42-1	22.5
82807-35-0	23
67762-73-6	23.1
25917-35-5	23.3
591-68-4	23.5
128821-84-1	23.5
108-20-3	23.6
828-63-7	23.6
25512-65-6	23.9
1732-10-1	24
27193-30-2	24
108-65-6	24
4602-84-0	24
6876-23-9	24
3522-94-9	24
75-83-2	24.4
108-87-2	24.4
7667-60-9	24.4
1320-76-9	24.9
6638-05-7	25
28929-85-3	25
29063-28-3	25
106-70-7	25.3
68916-43-8	25.6
17612-50-9	25.7
542-41-6	25.8
26249-15-0	25.8
33-51-2	26
1077-16-3	26
1191-41-9	27
74806-04-5	27
860116-58-1	27
39212-23-2	27.2
109-59-1	27.8
123-66-0	27.8
591-47-9	28
3779-61-1	28
102339-97-9	28
100-50-5	28.1
1003-30-1	28.1
2173-56-0	28.2
108-08-7	28.6
30498-63-6	29
90622-56-3	29
87-44-5	29
2639-63-6	29
53535-33-4	29
16326-32-2	29.2
68680-98-8	29.3
96-14-0	30
590-35-2	30
16409-43-1	30
29299-43-2	30
68647-60-9	30
1795-27-3	30.5
2207-03-6	30.5
8024-22-4	31
626-82-4	31
77-76-9	31.3
100-40-3	32
502-61-4	32
592-76-7	32
13062-00-5	32.2
88230-35-7	32.2
777-22-0	33
111-11-5	33.6
617-78-7	34.1
106-73-0	34.2
64742-49-0	34.5
1078-71-3	35
1678-91-7	35.8
106-68-3	36
592-98-3	36
5131-66-8	36.1
111-13-7	36.6
2040-96-2	37
7361-80-0	37
493-02-7	37.4
41989-07-5	37.4
2189-60-8	37.5
695-12-5	38
137077-55-5	38
142-68-7	38.2
25601-41-6	38.3
111-77-3	38.3
2400-04-6	39
17312-61-7	39
68551-15-5	39
67700-96-3	39.1
589-75-3	39.6
65572-87-4	39.6
2801-86-7	40
29222-48-8	40
6378-65-0	40
68527-00-4	40
111-15-9	40
5579-78-2	40.5
2400-01-3	41
506-44-5	41
1647-16-1	41
111-76-2	41
123-72-8	41.1
2719-64-4	42
589-34-4	42
106-32-1	42.2
14451-87-7	42.7
4485-09-0	43
7642-04-8	43
38815-29-1	43.5
68605-14-1	43.9
101750-15-6	43.9
506-43-4	44
6443-92-1	44
6114-21-2	44.4
111002-96-1	45
28473-21-4	45
1004-29-1	45.5
10378-01-5	46
68412-07-7	46
30642-09-2	46.1
2311-59-3	46.6
110-40-7	47
624-17-9	47
5614-37-9	47.3
1678-93-9	47.8
68476-44-8	47.9
334-48-5	48
17085-96-0	48
68610-82-2	48
108861-12-7	48.6
4534-59-2	49
5451-85-4	49
26447-41-6	49
71808-49-6	49
109-87-5	49
37309-58-3	49.1
28777-67-5	49.8
79554-39-5	50
70084-71-8	50
92-51-3	51
4536-88-3	51
31387-92-5	51
143-28-2	51
110-38-3	51
1072-05-5	51
2051-30-1	51.7
1678-92-8	52
57084-17-0	52.6
110-42-9	52.7
142-82-5	52.8
17312-63-9	53
30673-60-0	53
143819-62-9	53
2634-45-9	54
73506-93-1	54.1
30673-36-0	55
61788-34-9	56
1120-25-8	56.6
25378-22-7	56.8
462-95-3	57.3
17301-22-3	58
2777-58-4	58.6
15869-87-1	59
628-55-7	59.7
68649-11-6	60
119250-45-2	60
61193-19-9	60.9
5454-12-6	61
85049-36-1	61
17351-75-6	61.1
112-17-4	62
68937-76-8	62
68551-07-5	63.6
10448-26-7	64
50985-84-7	64
110-62-3	65.1
821-95-4	65.5
63335-87-5	65.5
111-82-0	66.5
115-10-6	67
124-06-1	67
68442-69-3	68
124-29-8	68
110-36-1	69.4
2432-87-3	70
3681-78-5	71
14303-70-9	71
16260-26-7	71
1459-10-5	72
41927-71-3	72
42231-99-2	72
68412-05-5	72
93924-07-3	72.9
106-33-2	73
106-18-3	73
2040-64-4	74
2568-90-3	74
34316-64-8	74
1120-34-9	74.2
66-25-1	75.2
124-10-7	75.8
113032-42-1	75.9
111-61-5	76.8
112-66-3	77
2146-71-6	77
62435-71-6	78.9
628-97-7	80
3634-92-2	80.5
112-35-6	80.7
71750-71-5	80.8
1120-36-1	80.9
638-59-5	81
68911-61-5	81
143585-58-4	81
105-99-7	81
61193-21-3	81
3370-97-6	83
142-91-6	83
110-34-9	84
5303-24-2	84
36528-28-6	84
13945-76-1	85
2239-78-3	85
74664-93-0	85.1
112-39-0	85.9
629-70-9	86
68154-28-9	86
112-61-8	86
112-11-8	86.6
42232-25-7	87
20834-06-4	88
26399-02-0	88
13179-98-1	88
123-79-5	89
111-06-8	89
629-50-5	90
27070-58-2	90
72269-30-8	90
42232-27-9	91
96125-72-3	91
629-62-9	96
544-01-4	96.2
112-10-7	97
13344-00-8	97
29806-73-3	98
109-31-9	99
646-13-9	99
4747-07-3	99.8
1120-28-1	100
538-24-9	100
555-45-3	100
544-76-3	100
765-14-0	101.7
142-77-8	102
124-13-0	102.5
1560-88-9	104
629-78-7	105
593-45-3	106
111-96-6	109
112-95-8	110
629-92-5	110
693-65-2	111
142-96-1	115.4
91031-48-0	116
112-49-2	120
112-36-7	123
32953-65-4	131
3687-46-5	134
71011-10-4	160
